orcid_origin,pmid,doi,article_qnr,all_authors_qnr
0000-0002-7049-3942,nan,10.1177/0306312715599850,Q38383851,['Q85892454']
0000-0002-7049-3942,nan,10.1177/0963662514558167,Q51771498,['Q85892454']
0000-0002-7049-3942,nan,10.1111/1467-9566.12542,Q40319234,"['Q85892454', 'Q91174048']"
0000-0002-7049-3942,nan,10.1111/1467-9566.12866,Q91174053,"['Q85892454', 'Q91174048']"
0000-0003-3477-6942,nan,10.1128/JB.187.20.7018-7026.2005,Q42082540,"['Q42082597', 'Q57903064', 'Q67260923']"
0000-0003-3477-6942,nan,10.1128/AEM.02820-16,Q36243506,"['Q42082597', 'Q57903064']"
0000-0002-6743-8942,nan,10.23736/S0392-9590.17.03761-0,Q47449236,['Q87744896']
0000-0003-2058-5942,nan,10.1007/978-1-4939-1743-3_11,Q35306545,['Q63384725']
0000-0003-2058-5942,nan,10.1097/MIB.0000000000000017,Q54217018,"['Q44284696', 'Q63384725']"
0000-0003-2058-5942,nan,10.1107/S1744309107006069,Q42001382,['Q63384725']
0000-0003-2058-5942,nan,10.1107/S0907444912034464,Q27682350,['Q63384725']
0000-0003-2058-5942,nan,10.1107/S1744309105007815,Q42001883,"['Q40371570', 'Q56285607', 'Q63384725']"
0000-0003-2058-5942,nan,10.1007/5584_2016_25,Q39678067,"['Q42316054', 'Q42684599', 'Q57446583', 'Q59151132', 'Q59694474', 'Q59694485', 'Q59707803', 'Q63384725']"
0000-0003-2058-5942,nan,10.1128/IAI.01759-14,Q39550426,['Q63384725']
0000-0003-2058-5942,nan,10.1097/TP.0000000000000166,Q42201561,"['Q60077839', 'Q71778587']"
0000-0003-2058-5942,nan,10.1107/S1744309110028721,Q42000477,"['Q56285607', 'Q63384725']"
0000-0003-2058-5942,nan,10.1186/1471-2164-15-699,Q34157198,"['Q52241148', 'Q62003427', 'Q62911332', 'Q63384725']"
0000-0003-2058-5942,nan,10.1128/AAC.02091-17,Q50134098,"['Q63384725', 'Q81644263']"
0000-0003-2058-5942,nan,10.1128/JVI.02619-09,Q33826682,"['Q45370028', 'Q56952326', 'Q63384725']"
0000-0003-2058-5942,nan,10.1107/S1744309106016861,Q41821641,"['Q56285607', 'Q63384725', 'Q64682326']"
0000-0003-2058-5942,nan,10.1128/JVI.00432-17,Q38707906,['Q63384725']
0000-0003-2058-5942,nan,10.1097/SHK.0000000000001098,Q48553068,['Q63384725']
