orcid,given_name,family_name,affiliation,affiliation_id,affiliation_id_source,start_date_year
0000-0001-7058-779X,"('ALOK', 'SAHU')","('Central Institute of Plastics Engineering and Technology', '233597', 'RINGGOLD', '1992')"
0000-0002-4687-979X,"('Jean-Paul', 'RENNER')","('Université Versailles Saint-Quentin-en-Yvelines', '27096', 'RINGGOLD', '2013')"
0000-0002-6952-879X,"('chengathirselvi', None)","('Kamaraj College of Engineering and Technology', '213285', 'RINGGOLD', '2009')"
0000-0002-1374-379X,"('Fabíola', 'Ortiz dos Santos')","('Universität Duisburg-Essen', '27170', 'RINGGOLD', '2018')"
0000-0001-9386-979X,"('Adriana', 'Miranda Pimentel')","('Universidade Federal da Bahia', '28111', 'RINGGOLD', '2010')"
0000-0002-9240-279X,"('Oksana', 'Kikinezhdi')","('Ternopil Volodymyr Hnatyuk National Pedagogical University', 'grid.446029.d', 'GRID', '2013')"
0000-0003-1808-679X,"('Marek', 'Radkowski')","('Medical University of Warsaw', 'grid.13339.3b', 'GRID', '1986')"
0000-0002-7472-279X,"('Burak', 'Sisman')","('Istanbul Üniversitesi', 'http://dx.doi.org/10.13039/501100002657', 'FUNDREF', '2006')"
0000-0001-8021-679X,"('Svitlana', 'Bobruk')","('Vinnitsa National Medical University named after M.I.Pirogov', 'grid.446037.2', 'GRID', '2007')"
0000-0003-0631-779X,"('Pâmela Juliana', 'Furlan-Murari')","('Universidade Estadual de Londrina', '37894', 'RINGGOLD', '2016')"
0000-0001-9853-979X,"('Gabriel', 'Dorantes-Argandar')","('Universidad Autónoma del Estado de Morelos', '27783', 'RINGGOLD', '2011')"
0000-0002-5542-579X,"('Елена', 'Постыльная')","('Melitopol State Pedagogical University', 'grid.445878.2', 'GRID', '1992')"
0000-0002-4350-479X,"('Ilvania', 'Gutiérrez-Gotera')","('Universidad de Los Andes', '33179', 'RINGGOLD', '1993')"
0000-0002-0171-879X,"('Barbara', 'van Asch')","('Stellenbosch University', '26697', 'RINGGOLD', '2015')"
0000-0001-6223-779X,"('Juliano', 'Tibola')","('Universidade do Estado de Santa Catarina Centro de Ciências da Saúde e do Esporte', '434950', 'RINGGOLD', '2003')"
0000-0002-7844-079X,"('Janika', 'Nättinen')","('Tampere University', 'grid.5509.9', 'GRID', '2014')"
0000-0001-7666-379X,"('Claudio Marcelo', 'Chavarría')","('Centro Científico Tecnológico CONICET Mendoza', '63019', 'RINGGOLD', '2001')"
0000-0001-9494-179X,"('Georgios', 'Dimitriadis')","('University of California Santa Cruz', '8787', 'RINGGOLD', '2017')"
0000-0003-4326-579X,"('Manal', 'Alsheddi')","('Princess Noura Bint AbdulRahman University', '202708', 'RINGGOLD', '2017')"
0000-0002-4989-379X,"('muhammad', 'jawed iqbal')","('National University of Sciences and Technology', '66959', 'RINGGOLD', '2010')"
0000-0003-2636-979X,"('Ann-Christin', 'Jacobsen')","('University of Southern Denmark', 'grid.10825.3e', 'GRID', '2018')"
0000-0002-7366-679X,"('Manuel', 'Waldorf')","('Universitat Osnabruck', '9186', 'RINGGOLD', '2006')"
0000-0001-9429-879X,"('Patryk', 'Frąckowiak')","('The Institute of Plant Protection – National Research Institute', 'grid.460599.7', 'GRID', '2016')"
0000-0001-7921-579X,"('Issam Mohammed Ali', 'Aljubury')","('University of Baghdad College of Engineering', '341218', 'RINGGOLD', '1996')"
0000-0002-1321-779X,"('Beizhan', 'Yan')","('Lamont-Doherty Earth Observatory, Columbia University', 'http://dx.doi.org/10.13039/100005964', 'FUNDREF', '2007')"
0000-0001-9425-579X,"('Celia', 'López-Bravo')","('Universidad de Sevilla', '16778', 'RINGGOLD', '2018')"
0000-0001-5288-079X,"('Arturo Javier', 'Martinez')","('Instituto Tecnológico de Zacatepec', '149222', 'RINGGOLD', '2000')"
0000-0001-9623-479X,"('Mohammad', 'Razia Sultana')","('New Mexico State University', '4423', 'RINGGOLD', '2016')"
0000-0002-2727-279X,"('Antonia Mª', 'Romero Cuadrado')","('Instituto de Agroquímica y Tecnología de Alimentos', '83071', 'RINGGOLD', '2012')"
0000-0003-0202-579X,"('Guilherme', 'Konradt')","('Universidade de Cruz Alta', '248852', 'RINGGOLD', '2018')"
0000-0002-8857-779X,"('David', 'Cunningham')","('Baylor College of Medicine', '3989', 'RINGGOLD', '2018')"
0000-0002-6057-479X,"('Agnieszka', 'Pac')","('Uniwersytet Jagielloński Collegium Medicum', 'http://dx.doi.org/10.13039/100009045', 'FUNDREF', '1998')"
0000-0001-8738-979X,"('Felix-Sebastian', 'Koch')","('Linköpings universitet', '4566', 'RINGGOLD', '2009')"
0000-0001-7103-779X,"('Ni Nyoman Ayu', 'Suryandari')","('Universitas Mahasaraswati Denpasar', '185821', 'RINGGOLD', '2008')"
0000-0003-2465-479X,"('yongping', 'shen')","('Cold and Arid Regions Environmental and Engineering Research Institute', '34737', 'RINGGOLD', '1985')"
0000-0002-5148-379X,"('Stephanie', 'Schaub')","('University of Washington School of Medicine', '12353', 'RINGGOLD', '2016')"
0000-0003-2101-579X,"('Eleonora', 'CAVALLINI')","('Università degli Studi di Bologna', '9296', 'RINGGOLD', '2001')"
0000-0003-3960-279X,"('Cícero', 'Silva')","('Prefeitura Municipal de Serra Talhada', '285716', 'RINGGOLD', '2015')"
0000-0001-9589-979X,"('Slobodan', 'Cvetanović')","('University of Nis, Faculty of Economics', 'grid.11374.30', 'GRID', '1989')"
0000-0001-5177-379X,"('José Leonor', 'Robles Batista')","('Universidad Católica Santa María La Antigua', '122057', 'RINGGOLD', '2018')"
0000-0002-1727-779X,"('DR. MOHAMMED ISMAIL', 'KHAN')","('ESIC Medical College and Hospital Hyderabad', '486160', 'RINGGOLD', '2016')"
